annee,semestre,carte,anonymat,ue,credit,nom_prenoms,sexe,note,cohorte,filiere
2018-2019,1,A00001,A5646F46,ANG1100,2,Adama Kadidia,F,13.79,2018,IS
2018-2019,1,A00002,A2BDCDD8,ANG1100,2,Kant̩ Ousmane,M,11.08,2018,GE
2018-2019,1,A00003,A6BAFDCB,ANG1100,2,Sidib̩ Rabi,F,12.16,2018,IA
2018-2019,1,A00004,A7AC0A37,ANG1100,2,Wagat̩ Ousmane,M,14.86,2018,LT
2018-2019,1,A00005,AD6B6E40,ANG1100,2,Tour̩ Ass̩tou,F,11.35,2018,GE
2018-2019,1,A00006,A91D111B,ANG1100,2,Bissikolo Mohamed,M,7.29,2018,SRI
2018-2019,1,A00007,A13C4CB0,ANG1100,2,Djit̩ Zakari,M,18.37,2018,SRI
2018-2019,1,A00008,A40B7CFA,ANG1100,2,Sow Abdou,M,20.0,2018,GL
2018-2019,1,A00009,A54E8907,ANG1100,2,Bakary Zou,F,12.36,2018,SRI
2018-2019,1,A00010,A8B32663,ANG1100,2,Kouyat̩ Zacharie,M,11.41,2018,LT
2018-2019,1,A00011,AEB4508E,ANG1100,2,Amadou Lassana,M,11.87,2018,IS
2018-2019,1,A00012,A6FF448D,ANG1100,2,Cheick Harouna,M,11.5,2018,IS
2018-2019,1,A00013,AC6FEFC2,ANG1100,2,Salif Boureima,M,10.88,2018,LT
2018-2019,1,A00014,A14E7953,ANG1100,2,Alou Adama,M,7.66,2018,GM
2018-2019,1,A00015,A6AAFE49,ANG1100,2,Issa Zara,F,12.13,2018,IA
2018-2019,1,A00016,AAF92C17,ANG1100,2,Bintou Fousseyni,M,12.68,2018,GM
2018-2019,1,A00017,AF69C4C9,ANG1100,2,Karim Souleymane,M,8.48,2018,IS
2018-2019,1,A00018,A557AC5E,ANG1100,2,Fanta Sada,M,15.63,2018,IS
2018-2019,1,A00019,A0825C1F,ANG1100,2,K̩ita Amadou,M,18.97,2018,IS
2018-2019,1,A00020,A274F380,ANG1100,2,Gakou Mahamadou,M,11.91,2018,IA
