annee,semestre,anonymat,carte,ue,credit,nom_prenoms,sexe,note,cohorte,filiere
2018-2019,1,A5646F46,A00001,ANG1100,2,Adama Kadidia,F,13.79,2018,IS
2018-2019,1,A2BDCDD8,A00002,ANG1100,2,Kanté Ousmane,M,11.08,2018,GE
2018-2019,1,A6BAFDCB,A00003,ANG1100,2,Sidibé Rabi,F,12.16,2018,IA
2018-2019,1,A7AC0A37,A00004,ANG1100,2,Wagaté Ousmane,M,14.86,2018,LT
2018-2019,1,AD6B6E40,A00005,ANG1100,2,Touré Assétou,F,11.35,2018,GE
2018-2019,1,A91D111B,A00006,ANG1100,2,Bissikolo Mohamed,M,7.29,2018,SRI
2018-2019,1,A13C4CB0,A00007,ANG1100,2,Djité Zakari,M,18.37,2018,SRI
2018-2019,1,A40B7CFA,A00008,ANG1100,2,Sow Abdou,M,20.0,2018,GL
2018-2019,1,A54E8907,A00009,ANG1100,2,Bakary Zou,F,12.36,2018,SRI
2018-2019,1,A8B32663,A00010,ANG1100,2,Kouyaté Zacharie,M,11.41,2018,LT
2018-2019,1,AEB4508E,A00011,ANG1100,2,Amadou Lassana,M,11.87,2018,IS
2018-2019,1,A6FF448D,A00012,ANG1100,2,Cheick Harouna,M,11.5,2018,IS
2018-2019,1,AC6FEFC2,A00013,ANG1100,2,Salif Boureima,M,10.88,2018,LT
2018-2019,1,A14E7953,A00014,ANG1100,2,Alou Adama,M,7.66,2018,GM
2018-2019,1,A6AAFE49,A00015,ANG1100,2,Issa Zara,F,12.13,2018,IA
2018-2019,1,AAF92C17,A00016,ANG1100,2,Bintou Fousseyni,M,12.68,2018,GM
2018-2019,1,AF69C4C9,A00017,ANG1100,2,Karim Souleymane,M,8.48,2018,IS
2018-2019,1,A557AC5E,A00018,ANG1100,2,Fanta Sada,M,15.63,2018,IS
2018-2019,1,A0825C1F,A00019,ANG1100,2,Kéita Amadou,M,18.97,2018,IS
2018-2019,1,A274F380,A00020,ANG1100,2,Gakou Mahamadou,M,11.91,2018,IA
2018-2019,1,A635528B,A00021,ANG1100,2,Aïcha Awa,F,13.77,2018,GE
2018-2019,1,A2FD8F2B,A00022,ANG1100,2,Kouriba Brahima,M,14.01,2018,GC
2018-2019,1,A5AA60C3,A00023,ANG1100,2,Alou Fanta,F,14.4,2018,SRI
2018-2019,1,AEA090BD,A00024,ANG1100,2,Dabo Fousseyni,M,6.63,2018,GL
2018-2019,1,A3AF5D64,A00025,ANG1100,2,Sissoko Alima,F,14.51,2018,LT
2018-2019,1,A119731E,A00026,ANG1100,2,Zouolé Sitan,F,12.19,2018,IA
